bnhm_id	ScientificName	ColloquialName	Kingdom	Phylum	Class	Subclass	Ordr	Suborder	Family	Superfamily	Subfamily	Tribe	Subtribe	Genus	Subgenus	SpecificEpithet	SubspecificEpithet	Taxon_Certainty	ScientificNameAuthor	IdentificationQualifier	IdentifiedBy	YearIdentified	MonthIdentified	DayIdentified	PreviousID	InstitutionCode	CollectionCode	CatalogNumberNumeric	AccessionNumber	Collector	Collector2	Collector3	Collector4	Collector5	CollectorNumber	YearCollected	MonthCollected	DayCollected	YearCollected2	MonthCollected2	DayCollected2	VerbatimCollectingLabel	VerbatimIDLabel	CollectingLabelNotes	TimeofDay	ContinentOcean	IslandGroup	Island	Country	StateProvince	County	Locality	DecimalLongitude	DecimalLatitude	HorizontalDatum	OriginalCoordSystem	VerbatimLongitude	VerbatimLatitude	MaxErrorInMeters	MinElevationMeters	MaxElevationMeters	ElevationText	MinDepthMeters	MaxDepthMeters	DepthText	GeorefReference	Lat_Long_Determined_By	Lat_Long_Determined_Date	GeorefRemarks	DateFirstEntered	EnteredBy	DateLastModified	ModifiedBy	ModifyReason	TypeStatus	Caste	LifeStage	IndividualCount	NumMales	NumFemales	NumOther	Parts	PreparationType	BasisOfRecord	Habitat	MicroHabitat	Associated_Taxon	Association_Type	OtherCatalogNumbers	RelatedCatalogItem	LoanNumber	Notes	DNASequenceNo	RecheckFlag	Collectors_Loc	Collectors_ID	HoldingInstitution	Coll_EventID	Collection_Method	parent_record	child_exists	ProjectName	
OSAC2001413	Bembidion anguliferum		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae					Bembidion		anguliferum			Leconte		David R. Maddison	2017				OSAC		2001413		David R. Maddison	A. Elizabeth Arnold				Will, Madan, Hsu 2017	2000	5	25								North America			United States	Nevada	Douglas County	Spooner Summitt Rest Area	-119.89430	39.10410	WGS1984					2175.0000						Original GPS	Kipling Will	2017-02-04		2017-02-04	Kipling Will	2017-02-04	Kipling Will				adult	1					pin	PreservedSpecimen													Oregon State Arthropod Collection		DRM 00.029				
OSAC2001757	Bembidion variolosum		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae					Bembidion		variolosum			Motschulsky, 1859		David R. Maddison	2017				OSAC		2001757		David R. Maddison	A. Elizabeth Arnold				Will, Madan, Hsu 2017	2000	5	24								North America			United States	Nevada	Lyon County	Carson River near Weeks	-119.27780	39.28660	WGS1984					390.0000						Original GPS	Kipling Will	2017-02-04		2017-02-04	Kipling Will						adult	1					pin	PreservedSpecimen													Oregon State Arthropod Collection		DRM 00.024				
OSAC2002153	Bembidion mutatum		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae					Bembidion		mutatum			Gemminger and Harold, 1868		David R. Maddison	2017				OSAC		2002153		David R. Maddison	A. Elizabeth Arnold				Will, Madan, Hsu 2017	2000	5	25								North America			United States	Nevada	Douglas County	Spooner Summitt Rest Area	-119.89430	39.10410	WGS1984					2175.0000						Original GPS	Kipling Will	2017-02-04		2017-02-04	Kipling Will						adult	1					pin	PreservedSpecimen													Oregon State Arthropod Collection		DRM 00.029				
OSAC2003094	Bembidion approximatum		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae					Bembidion		approximatum			(Leconte, 1852)		David R. Maddison	2017				OSAC		2003094		David R. Maddison	A. Elizabeth Arnold				Will, Madan, Hsu 2017	2000	5	24								North America			United States	Nevada	Lyon County	Carson River near Weeks	-119.27780	39.28660	WGS1984					390.0000						Original GPS	Kipling Will	2017-02-04		2017-02-04	Kipling Will						adult	1					pin	PreservedSpecimen													Oregon State Arthropod Collection		DRM 00.024				
SBMNHENT109	Ischnura cervula		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Zygoptera	Coenagrionidae					Ischnura		cervula			Selys-Longchamps, 1876		J. Ball	2012				SBMNHENT		109		R. L. Doutt						2000	4	17	2000	4	24					North America			United States	California	Santa Barbara County	Montecito, near San Ysidro Creek	-119.61974	34.43456	WGS1984				1776.0000							GNIS+Acme Mapper+GeoLocate	Gordon M. Nishida	2013-05-23	Error is extent of stream within city	2012-10-09	Erin Smith	2012-10-09	Erin Smith					1						PreservedSpecimen													Santa Barbara Museum of Natural History						
SBMNHENT112	Enallagma sp.		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Zygoptera	Coenagrionidae					Enallagma		sp.					J. Ball	2012				SBMNHENT		112		R. L. Doutt						2000	7	23	2000	7	24					North America			United States	California	Santa Barbara County	Montecito, near San Ysidro Creek	-119.61974	34.43456	WGS1984				1776.0000							GNIS+Acme Mapper+GeoLocate	Gordon M. Nishida	2013-05-23	Error is extent of stream within city	2012-10-09	Erin Smith	2012-10-09	Erin Smith					1						PreservedSpecimen													Santa Barbara Museum of Natural History						
SBMNHENT153	Enallagma sp.		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Zygoptera	Coenagrionidae					Enallagma		sp.					J. Ball	2012				SBMNHENT		153		R. L. Doutt						2000	7	19	2000	7	24					North America			United States	California	Santa Barbara County	Montecito, near San Ysidro Creek	-119.61974	34.43456	WGS1984				1776.0000							GNIS+Acme Mapper+GeoLocate	Gordon M. Nishida	2013-05-23	Error is extent of stream within city	2012-10-09	Erin Smith							1						PreservedSpecimen													Santa Barbara Museum of Natural History						
SBMNHENT154	Enallagma praevarum		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Zygoptera	Coenagrionidae					Enallagma		praevarum			(Hagen, 1861)		J. Ball	2012				SBMNHENT		154		R. L. Doutt						2000	8	8	2000	8	14					North America			United States	California	Santa Barbara County	Montecito, near San Ysidro Creek	-119.61974	34.43456	WGS1984				1776.0000							GNIS+Acme Mapper+GeoLocate	Gordon M. Nishida	2013-05-23	Error is extent of stream within city	2012-10-09	Erin Smith	2013-03-08	Andy Wong					1						PreservedSpecimen													Santa Barbara Museum of Natural History						
SBMNHENT155	Argia vivida		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Zygoptera	Coenagrionidae					Argia		vivida			Hagen in Selys, 1865		J. Ball	2012				SBMNHENT		155		R. L. Doutt						2000	7	15								North America			United States	California	Santa Barbara County	Montecito, near San Ysidro Creek	-119.61974	34.43456	WGS1984				1776.0000							GNIS+Acme Mapper+GeoLocate	Gordon M. Nishida	2013-05-23	Error is extent of stream within city	2012-10-09	Erin Smith							1						PreservedSpecimen													Santa Barbara Museum of Natural History						
SBMNHENT45	Argia vivida		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Zygoptera	Coenagrionidae					Argia		vivida			Hagen in Selys, 1865		T. Manolis					SBMNHENT		45		Richard L. Doutt						2000	6	13	2000	6	19	See Image.	See Image.			North America			United States	California	Santa Barbara County	Montecito, near San Ysidro Creek	-119.61974	34.43456	WGS1984				1776.0000							GNIS+Acme Mapper+GeoLocate	Gordon M. Nishida	2013-05-23	Error is extent of stream within city	2012-09-25	Erin Smith							1						PreservedSpecimen													Santa Barbara Museum of Natural History						
SBMNHENT47	Argia vivida		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Zygoptera	Coenagrionidae					Argia		vivida			Hagen in Selys, 1865		J. Ball	2012				SBMNHENT		47		Richard L. Doutt						2000	7	15				See Image.	See Image.			North America			United States	California	Santa Barbara County	Montecito, near San Ysidro Creek	-119.61974	34.43456	WGS1984				1776.0000							GNIS+Acme Mapper+GeoLocate	Gordon M. Nishida	2013-05-23	Error is extent of stream within city	2012-09-25	Erin Smith							1						PreservedSpecimen													Santa Barbara Museum of Natural History						
SBMNHENT48	Argia lugens		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Zygoptera	Coenagrionidae					Argia		lugens			(Hagen, 1861)		T. Manolis	2001	2	20		SBMNHENT		48		Richard L. Doutt						2000	6	13	2000	6	19	See Image.	See Image.			North America			United States	California	Santa Barbara County	Montecito, near San Ysidro Creek	-119.61974	34.43456	WGS1984				1776.0000							GNIS+Acme Mapper+GeoLocate	Gordon M. Nishida	2013-05-23	Error is extent of stream within city	2012-09-25	Erin Smith							1						PreservedSpecimen													Santa Barbara Museum of Natural History						
UCBME51924	Ophiogomphus bison		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Anisoptera	Gomphidae					Ophiogomphus		bison			Selys-Longchamps, 1873							UCBME		51924		G. A. K.						2000	6	6								North America			United States	California	Glenn County	Ice Spring, spring seep	-122.79624	39.72447	WGS1984				487.0000	1463.0400		4800 feet				Label	Gordon M. Nishida	2014-09-10	UTM conversion, error is arbitrary	2012-11-19	Minh Nguyen	2014-09-13	Gordon M. Nishida				adult	1		1			envelope	PreservedSpecimen													Bohart Museum of Entomology						
UCBME51925	Brechmorhoga mendax		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Anisoptera	Libellulidae					Brechmorhoga		mendax			(Hagen, 1861)							UCBME		51925		Carol Witham						2000	6	6								North America			United States	California	Napa County	Knoxville Road, Eticuera Creek	-122.27720	38.74320	WGS1984	UTM 10 562813E 4288531N			30.0000	198.1200		650'				label data	Gordon M. Nishida	2013-07-18	converted from UTM	2012-11-19	Minh Nguyen	2014-05-15	Joan Ball				adult	1		1			envelope	PreservedSpecimen													Bohart Museum of Entomology						
UCBME51928	Macromia magnifica		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Anisoptera	Macromiidae					Macromia		magnifica			McLachlan in Selys, 1874		G.A.K.	2000				UCBME		51928		G. A. K.						2000	6	19								North America			United States	California	Colusa County	Bear Creek	-122.36320	39.01050	WGS1984				30.0000	320.0400		1050 feet				Label data	Gordon M. Nishida	2013-07-18	Conversion from UTM	2012-11-19	Minh Nguyen	2015-06-11	Gordon M. Nishida				adult	1	1				envelope	PreservedSpecimen													Bohart Museum of Entomology						
UCBME51929	Macromia magnifica		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Anisoptera	Macromiidae					Macromia		magnifica			McLachlan in Selys, 1874		G.A.K.	2000				UCBME		51929		G. A. K.						2000	5	25								North America			United States	California	Napa County	Eticuera Creek, Knoxville Road	-122.26989	38.73295	WGS1984				2401.0000	198.1200		650 feet				GeoLocate	Joan Ball	2014-05-29	Coordinates given are not at described locality. Point placed at given elevation along creek/road. Error includes area along stream/road between 600-800 ft elevation.	2012-11-19	Minh Nguyen	2014-05-29	Joan Ball				adult	1	1				envelope	PreservedSpecimen													Bohart Museum of Entomology						
UCBME51936	Somatochlora semicircularis		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Anisoptera	Corduliidae					Somatochlora		semicircularis			(Selys-Longchamps, 1871)		G.A.K.	2000				UCBME		51936		G. A. K.						2000	7	30								North America			United States	California	El Dorado County	Grass Lake, Floating Sphagnum Lake	-119.96710	38.79320	WGS1984				30.0000	2346.9600		7700 feet				Label data	Gordon M. Nishida	2013-07-18	Conversion of UTM	2012-11-19	Minh Nguyen	2014-05-15	Joan Ball				adult	1	1				envelope	PreservedSpecimen													Bohart Museum of Entomology						
UCBME51938	Sympetrum obtrusum		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Anisoptera	Libellulidae					Sympetrum		obtrusum			(Hagen, 1861)		G.A.K.					UCBME		51938		G. A. K.						2000	7	14								North America			United States	California	Plumas County	Willow Lake	-121.36099	40.40397	WGS1984				348.0000							GeoLocate	Gordon M. Nishida	2013-09-03	Centroid of polygon of named place	2012-11-19	Minh Nguyen	2013-07-19	Gordon M. Nishida				adult	1	1				envelope	PreservedSpecimen													Bohart Museum of Entomology						
UCBME51942	Hetaerina americana		Animalia	Arthropoda	Insecta	Pterygota	Odonata	Zygoptera	Calopterygidae					Hetaerina		americana			(Fabricius, 1798)		G.A.K.	2000				UCBME		51942		G. A. K.						2000	6	19								North America			United States	California	Colusa County	Bear Creek	-122.36320	39.01060	WGS1984				30.0000	320.0400		1050 feet				Label data	Gordon M. Nishida	2013-07-19	Conversion from UTM	2012-11-19	Minh Nguyen	2014-05-15	Joan Ball				adult	2	1	1			envelope	PreservedSpecimen													Bohart Museum of Entomology						
